		From the collection of the 7 n m o PreTinger a v XJibrary
San Francisco	LOCATION	,
California	LOCATION	2006 7 1853 LIBRARY ESTABLISHED Ib72 LAWRENCE , THE DIAL Semi - Monthly Journal cf Literary Criticism , Discussion , and Information VOLUME LI .

		JULY 1 TO
DECEMBER 16 , 1911	DATE	CHICAGO THE DIAL COMPANY , PUBLISHERS
1911	DATE	^ 3 `` Kef .

		INDEX TO VOLUME LI .

		PAGE `` ANACREON , A SAD '' 119 ANDES AND
AMAZON	LOCATION	Julian Park 44 ANTARCTIC , Two YEARS IN THE 70 ART WHAT Is IT ?


Frederick W. Gookin	PERSON	... 133 BASCOM , JOHN , THE DEATH OF 285 BIBLE CRITICISM , A SIGNIFICANT PIECE OF
Joseph Henry Crooker	PERSON	... 132 BOOKS OF THE FALL SEASON .

		1911 183
CANADA	LOCATION	, OLD AND NEW
Lawrence J. Burpee	PERSON	130 CAVOUR AND THE MAP OF ITALY
Carl Becker	PERSON	389 CHICAGO THEATRE SOCIETY , THE 63
CHINA	LOCATION	, THE TRANSFORMATION OF
Payson	PERSON	J. Treat 388 CHRISTMAS BOOKS FOR CHILDREN , BUYING
Montrose J. Moses	PERSON	457 CIVIL WAR AFFAIRS , A STERN CENSOR OF
W. H. Johnson	PERSON	248 COLLEGE CURRICULUM , THE STORY OF THE
Joseph Jastrow	PERSON	250 CONFEDERATE BRIGADIER , MEMOIRS OF A
James M. Garnett	PERSON	15 DOGBERRY AT THE SEAT OF CUSTOM 379 DRAMA , THE AMERICAN NEWSPAPER
James W. Tupper	PERSON	334 EIGHTEENTH CENTURY COME AGAIN , THE
Charles Leonard Moore	PERSON	... 185 EIGHTEENTH-CENTURY PATRON OF SCIENCE , AN ...
Raymond Pearl	PERSON	255 ENGLISH LITERARY FAMILIES , SOME
E. H. Lacon Watson	PERSON	243 ENGLISH LITERATURE , FRENCH INFLUENCE ON ...
James W. Tupper	PERSON	129 EVOLUTION : As SPECULATION AND AS FACT
Raymond Pearl	PERSON	297 FERRERESQUE STYLE OF WRITING HISTORY , THE ... Grant Showerman 397 FICTION , RECENT
William Morton Payne	PERSON	.

		48 , 199 , 470 FOLK , THE , AND THE INDIVIDUAL AS POETS
Clark S. Northup	PERSON	524
FRANKFORT	LOCATION	BOOK FAIR , THE
George Haven Putnam	PERSON	... 40 FREE-THINKER AND FREE-LANCE , MEMOIRS OF A ...
Percy F. Bicknell	PERSON	386
GETTYSBURG	LOCATION	, LEE AND LONGSTREET AT
James M. Garnett	PERSON	126 GOETHE 'S FRIENDSHIPS WITH WOMEN
James Taft Hatfteld	PERSON	336 GREAT SOUL , THE STORY OF A
Waldo R. Browne	PERSON	522 GREAT WORK , THE CONCLUSION OF A ... .

		.


Ephraim D. Adams	PERSON	73 HOLIDAY PUBLICATIONS ,
1911	DATE	474 , 532 INCOME TAX , PROBLEMS OF AN
John Bascom	PERSON	196
INDIA	LOCATION	, THE INTEREST OF
Fred B. R. Hellems	PERSON	294 ITALIAN PROBLEMS OF WAR AND PEACE
Anna Benneson	PERSON	McMahan ... 292
ITALY	LOCATION	, THE LIBERATOR OF
Roy Temple House	ORGANIZATION	465
JAPAN	LOCATION	, A BINOCULAR VIEW OF 0 .

		D. Wannamaker 100 LAW AND LAWYERS IN
AMERICA	LOCATION
Percy F. Bicknell	PERSON	190 LEONARDO AND THE LADY
Anna Benneson McMahan	PERSON	.

		.

		194 LISZT CENTENARY ,
THE Louis James Block	ORGANIZATION	394 LITERATURE , THE FIGHT FOR FREE RAW MATERIALS IN .


Charles Leonard Moore	PERSON	... 517 LUTHER , MARTIN , MODERN VIEWS OF
James Taft Hatfteld	PERSON	... 528 MILTON , THE AGE OF , IN ENGLISH LITERATURE ... Lane Cooper 463 MORALITY , THE OLD 91 MOUNTAIN LOVER , FIRST IMPRESSIONS OF A Charles At wood Kofoid ... 251 Music , THE MESSAGE OF Louis James Block 293
