		From the collection of the y Z ^ rr .

		o
Prelinger	PERSON	- V Jjibrary b t P .


San Francisco	LOCATION	,
California	LOCATION	2007 Digitized by the Internet Archive in
2007	DATE	with funding from IVIicrosoft Corporation http://www.archive.org/details/dialliterarycrit31browrich f / ^ -LRB- CortAJ - THE DIAL ci / / Semi-Monthly Journal of Literary Criticism , Discussion , and
Information Public Library	ORGANIZATION	, VOLUME XXXI .


July 1	DATE	to
December 16 , 1901	DATE	CHICAGO THE DIAL COMPANY , PUBLISHERS 1 90 1 INDEX TO VOLUME XXXI .

		PAOK Abyssinia , Through Unknown
John J.	PERSON	ff olden 363
American Actress	ORGANIZATION	, Memoirs of an .


Ingram A. Pyle	PERSON	322
American Colonies	ORGANIZATION	, Inner Life of the
F. H. Hodder 51 American History	ORGANIZATION	, A Composite
Francis	PERSON	Way land
Shepardson	PERSON	.

		321
American People	ORGANIZATION	, New History of the
Francis Wayland Shepardson	PERSON	.

		181 Animals , Innings of the
Charles Atwood Kofoid	PERSON	... 439 Anti-Slavery Publications , Some Early
F. H. Hodder	PERSON	310 Biography , Modern ,
Popular Forms of Annie Russell Marble	ORGANIZATION	.

		.

		125 Bogus King , History of a
Percy F. Bicknell	PERSON	... 511 Books for the
Young	ORGANIZATION	, 1901 449 520 Books of the
Fall Season	ORGANIZATION	of
1901	DATE	173 Busy Life , Leaves from a
Wallace Bice 178 Celtic Folklore Clark Sutherland Northup	ORGANIZATION	.

		76 Centennials , Two 501 Century , Inventory of a
W. H. Carruth	PERSON	131
China	LOCATION	's Intellectual Life
Wallace	PERSON	Rice 316 '' Civilization , ''
Uncivilized Wallace Rice 73 Continental Literature	ORGANIZATION	, A Year op 69 .

		95 Critic , Our Latest 9
Cromwell	PERSON	as a
Military Tyrant Benjamin Terry 361 Dante Books	ORGANIZATION	, Three
William Morton Fayne	PERSON	.

		.

		512
Earnest Life	ORGANIZATION	, Story of an
Wallace Rice 231 Educational Problems	ORGANIZATION	, Studies in
A. S. Whitney	PERSON	106
Encyclopedia Biblica	LOCATION	,
Cheynes Ira	ORGANIZATION	M. Price 79 English Caricaturist , Reminiscences op an
Ingram A. Pyle	PERSON	504 English Lakes , Stories of the
Lewis Worthington Smith	PERSON	.

		.

		440 English Teaching ,
Some Recent Phases of Rose M. Kavana	ORGANIZATION	353 Epochs and Epoch-Makers
Josiah Renick Smith	PERSON	... 235 Ethics , Some Present-Day Methods in
Frank Chapman Sharp	ORGANIZATION	.

		.

		183 European Culture and Politics , Four Centuries of .

		.

		A. M. Wergeland ... 509 European Peoples ,
Origin of Frederick Starr 360 Fiction	ORGANIZATION	, Mr.
Howells	PERSON	Talks of
Richard Burton	PERSON	506 Fiction , Recent
William Morton Payne	PERSON	25,135 , 365
Fiske	PERSON	,
John	PERSON	47 French Literature , Masters of .

		.


Samuel C. Earle	PERSON	... 104 Gardens Old and New
George M. R. Twose	PERSON	... 12 Geography and History , Relations of
E. D. Adams	PERSON	103
Georges	PERSON	, The Four
Charles W.	PERSON	French ... 105 Greek Thinkers and their Environment
Paul Shorey	PERSON	100 Green ,
John Richard William Morton Payne	PERSON	... 430
Holiday Publications	ORGANIZATION	,
1901	DATE	442 , 513
Jefferson	PERSON	, The True
Thomas Francis Wayland Shepardson	PERSON	.

		508 Library Cooperation
Lodilla Ambrose 49 Lowell	PERSON	,
James Russell William Morton Payne	PERSON	... 312 Lyrical Anthologies , Three
Charles Leonard Moore	PERSON	... 175
McClellan	PERSON	as a Great Commander
Isaac R Pennypacker	PERSON	... 318 Memorial of Two Great Authors , An Interesting .

		.


Anna Benneson McMahan	PERSON	.

		.

		229 Midnight Sun , Our Land of the
Charles Atwood Kofoid	PERSON	... 273 Nature Books , A Group of
Sara A. Hubbard	PERSON	... 14 Nature Books , Some New
Sara A. Hubbard	PERSON	... 186
Negro Leadership	ORGANIZATION	, Evolution of
W. E. Burghardt Bu Bois	ORGANIZATION	.

		.

		53 New Testament Criticism and History
Edgar J. Goodspeed	PERSON	... 55
Nineteenth Century	ORGANIZATION	Literature
William Morton Payne	PERSON	... 277 Novels , Notes on 30 , 369
Paston Letters	ORGANIZATION	, The
James Westfall Thompson	PERSON	.

		.132 Philosophy and Psychology , A Dictionary of ... .


Joseph Jastrow	PERSON	276 Play , Psychology of
Frederick Starr	PERSON	237 INDEX .

		ni .

		PAOK Poetry , Recent
William Morton Payne	PERSON	... 238 Political Parties in the
United States	LOCATION
F. H. Hodder	PERSON	364 Princess , Tribulations of a
Edith Kellogg Dunton	PERSON	... 77 Publicist , Orations and Essays of a
Duane Mowry	PERSON	133 Queen 's Comrade , A
