		From the collection of the o PreTinger i a JLJibrary p
San Francisco	LOCATION	,
California	LOCATION	2006 ESTABLISH LAWRENCE THE DIAL A Fortnightly Journal of Literary Criticism , Discussion , and Information Public Library VOLUME LIX
JUNE 24 TO DECEMBER 23 , 1915	DATE	CHICAGO THE
HENRY O. SHEPARD	PERSON	CO. .

		1915 7 ^ 7 ^ INDEX TO VOLUME LIX PAGE ACTING , CLASSICS ON THE ART OF H. C. Chat field-Taylor 564
A. L. A. CONFERENCE	PERSON	, THE
Arthur E. Bostwick	PERSON	8
AMERICA	LOCATION	, THE MAKING OF
William V. Pooley	PERSON	367 AMERICAN DRAMA , AN , OF THE 18TH CENTURY
William B. Cairns	PERSON	60
AMERICAN NATURALIST	ORGANIZATION	, A GREAT
T. D. A. Cockerell	PERSON	16 AMERICAN NOVELISTS , SOME , AND THE LAME ART ...
H. W. Boynton	PERSON	548 AMERICAN ONE - ACT PLAYS , RECENT
Homer E. Woodbridge	PERSON	Ill AMERICAN POLITICS , THE NEW SPIRIT IN
Frederic Austin Ogg	PERSON	62 AMERICAN THOUGHT , THE FINE FLOWER OF
William Morton Payne	PERSON	83 ASTRONOMER , A GREAT , MEMORIALS OF
Mabel Loomis	PERSON	Todd 488
BELGIUM	LOCATION	'S POET-LAUREATE
Benj	PERSON	.

		M. Woodbridge 152 BLUE-STOCKINGS , THE , AND THEIR INFLUENCE
Martha Hale	PERSON	ShacTcford ... 105 BOOKS OF THE AUTUMN SEASON ,
1915	DATE	199 BUDDHIST PSYCHOLOGY
L. W. Cole	PERSON	322
CARLYLE REDIVIVUS Alex. Mackendrick	ORGANIZATION	483 CHILDREN OF THE CITY
T. D. A. Cockerell	PERSON	103 CHRISTIANITY 'S FIERCEST ANTAGONIST
James Taft Hatfield	PERSON	144 '' CRITIC , THE GENTEEL , '' A WORD ON
H. W. Boynton	PERSON	303 CRITICS , A BREVIARY FOR
Herbert Ellsworth Cory	PERSON	... 98 DANTE IN A NEW TRANSLATION
W. H. Carruth	PERSON	372 DE PROFUNDIS Alex.
Mackendrick	PERSON	376 DIPLOMAT OF THE GOLDEN RULE , THE
W. H. Johnson	PERSON	411 DRAMA IN ENGLISH ,
THE NEW Helen McAfee	ORGANIZATION	415 EDUCATION , A PRAGMATIC ILLUMINATION OF
Thomas Percival Beyer	PERSON	109 ELBA ,
WATERLOO	LOCATION	,
ST. HELENA Henry E. Bourne	ORGANIZATION	318 EMERSON STUDIED FROM His JOURNALS
Charles Milton	PERSON	Street 214 ESSAYS , CRITICAL , EIGHTEENTH CENTURY
J. Paul Kaufman	PERSON	218 ESSAYS AND ESSAYISTS
Charles Leonard Moore	PERSON	... 45 ESSAYS IN MINIATURE
William Morton Payne	PERSON	148 EXEGI MONUMENTUM : RUPERT
BROOKE Charles H. A. Wager	PERSON	... 605 FAMILIES , Two FAMOUS , A CENTURY 'S RECORDS OF ...
T. D. A. Cockerell	PERSON	263 FERNSEED , ON THE EATING OF
Charles Leonard Moore	PERSON	... 591 FICTION , RECENT
Edward E. Hale	PERSON	.

		421 , 495 , 573 , 615 FICTION , RECENT
William Morton Payne	PERSON	63 , 219 , 328 , 379 FLAUBERT , THE ROMANTICISM OF
Lewis Piaget Shanks	PERSON	316 GALSWORTHY ,
JOHN Edward E. Hale	PERSON	201 GARDENER , THE AMATEUR .

		.


T. D. A. Cockerell	PERSON	419 GERMAN STATE SOCIALISM , TRIUMPHS OF
Frederic Austin Ogg	PERSON	566
GREECE	LOCATION	, RELICS OF THE BRONZE AGE IN
Frederick Starr	PERSON	58 HISTORY , A NEW PHILOSOPHY OF
Carl Becker	PERSON	146 HISTORY As IT Is POPULARIZED
Isaac Joslin	PERSON	Cox 612 HOLIDAY PUBLICATIONS ,
1915	DATE	497 , 575 , 618 INCOME AND ITS DISTRIBUTION IN THE UNITED STATES ...
David T. Thomas	PERSON	212 INDIANS , SLAVE-HOLDING , IN THE CIVIL WAR
Walter L. Fleming	PERSON	216 IRVING-BREVOORT LETTERS , THE
William B. Cairns	PERSON	491 JAPANESE PEOPLE , AN AUTHORITATIVE HISTORY OF THE .

		.

		Payson J. Treat 270 JAPANESE PRINTS , THE FASCINATION OF
Frederick W. Gookin	PERSON	373 JEWELS , MAGIC CHARMS AND
Helen A. Clarke	PERSON	610 LIFE , FINDING ONESELF IN
Alex. Mackendrick	PERSON	20 LITERARY HISTORY , A CURIOSITY IN
Benj	PERSON	.

		M. Woodbridge 571 LITERATURE AND HISTORY
Fred Morrow	PERSON	Fling 493
LONDON	LOCATION	, LITERARY AFFAIRS IN
J. C. Squire	PERSON	306 , 404 , 549 LYRIC LORD , THE
Charles Leonard Moore	PERSON	.

		\ .

		.

		401 '' MOVIES , '' OLD AND NEW , THE H. C. Chatfield-Taylor 17 MORRIS , WILLIAM , AND THE WORLD TO-DAY
T. D. A. Cockerell	PERSON	545 Music , THE INNER LIFE OF Louis James Block 155 '' NATION , THE , '' JUBILEE OF 86 PAINTING , THE NEW Grant Showerman 486
PARIS	LOCATION	, LITERARY AFFAIRS IN
Theodore Stanton	PERSON	... 356 , 474 , 593 PARSIFAL LEGEND , A NEW VERSION OF THE
M. Goebel	PERSON	377 INDEX PETRARCH AGAIN
W. P. Reeves	PERSON	... PLAYS OF WAR AND LOVE , RECENT
Homer E. Woodbridge	PERSON	.

		POETRY , RECENT
Raymond M. Alden	PERSON	.

		. ''

		PREPAREDNESS , '' CASSANDRA-VOICES OF
Edward Krehbiel	PERSON	... PUBLISHER AND MAN OF ACTION , RECOLLECTIONS OF A ...
Charles Leonard Moore	PERSON	.


RUSSIA	LOCATION	, THE NEW
Frederic Austin Ogg	PERSON	.

		SHAKESPEARE , BACONIZING
Samuel A. Tannenbaum SHAKESPEAREANA	PERSON	, FRAGMENTA
Samuel A. Tannenbaum SHAW	PERSON	, BERNARD , SENSE AND NONSENSE ABOUT
Archibald Henderson	PERSON	SHORT STORIES , THE BEST
Charles Leonard Moore	PERSON	.

		SOUTH AMERICAN NEIGHBORS , OUR
Walter L. Fleming ... STEVENSON	PERSON	, NEW VIEWS OF
Clark S. Northup	PERSON	... '' STORY , JUST A NICE ''
H. W. Boynton	PERSON	... STYLE , THE PUGNACIOUS
Percy F. Bicknell	PERSON	... THE PITY OF IT !


William Morton Payne	PERSON	.

		THOREAU ,
THE MODERN Henry Seidel Canby	ORGANIZATION	.

		.

		VIENNESE PLAYWRIGHT IN
ENGLISH	LOCATION	, A
Winifred Smith	PERSON	...
VIRGINIA	LOCATION	, THE STORIED BUILDINGS OF
Fiske Kimball	PERSON	... VISIONARY , A DIVINE
Arthur Damson Ficke	PERSON	.

		VOCATION ,
THE GREAT Grant Showerman	ORGANIZATION	.

		.

		WAR , THE GREAT , DIPLOMACY AND
James W. Garner	PERSON	... WAR , THE GREAT , SOCIALISM AND
Thomas Percival Beyer	PERSON	.

		WAR , SCORCHED WITH THE FLAMES OF Wallace Rice ...
WASHINGTON	LOCATION	, THE BUILDING OF
Fiske Kimball	PERSON	... WORLD , THE FEDERATION OF THE
T. D. A. Cockerell	PERSON	.

		.

